corruption,drinking_water,piped_water,sanitation,electricity,mobile_phone,independent_media,healthcare,political_rights,freedom_of_expression,freedom_of_religion,justice,property_rights_for_women,violence_against_minorities,equal_political_power_gender,refugees
-0.889250043,-1.327856959,-1.299927955,-1.65339444,-1.616658707,-1.317397106,-1.923465134,-1.535806293,-0.253783439,-1.136889724,0.035512919,-0.251114681,-1.817743064,1.008156263,-0.833886253,-0.228863424
-0.612940402,0.532094711,1.205194716,0.869079765,0.961538976,0.274516903,0.832369371,0.355119417,0.196682165,-0.156697239,-0.349169712,0.240417198,0.339739542,1.008156263,-0.666118339,-0.176081364
0.630452985,1.055636241,1.598483947,0.974688402,0.968744671,0.127843039,0.556679892,2.192287313,-0.36639984,-1.018385805,-0.711101244,0.710430446,0.102529527,-0.141708712,0.086711361,1.455945174
0.630452985,1.159180743,0.786081726,1.225178233,0.977040233,1.572587451,2.098783226,2.112222204,1.097613375,1.362450798,1.588813273,2.388030576,1.838058857,-2.441438662,1.183949699,-0.791173387
-0.751095222,1.138456692,-0.147686707,1.354491189,0.940189581,2.200507901,0.656081183,0.040535873,1.210229776,0.498605138,-1.499120451,-0.216535729,0.985925672,-1.387395768,-0.702193491,-0.734364546
-1.718178967,-1.738393934,-0.683258782,-1.33305479,-1.108603996,-1.402850506,0.121111722,-1.20185199,-1.154714649,-0.040913529,-1.351130742,-0.984780942,-0.583770223,0.337401695,-0.932663376,-0.792298315
-0.474785581,1.135587426,1.372139283,1.130809503,0.913543808,-0.201927924,-0.60274504,-0.750490661,-1.379947451,-1.852245591,-0.891056574,-1.389012461,0.271237009,1.008156263,-1.118591355,0.757408779
0.630452985,0.75654135,-0.422611934,-0.171268112,0.786635635,-0.097209473,1.408499249,-0.54829127,1.210229776,1.24798405,-0.33049295,-0.074256369,0.696288456,1.008156263,1.161146847,2.657776455
0.077833702,-0.891160426,-0.954207191,-1.098611213,-1.434097608,-1.206743036,-0.931572792,0.061608393,-1.154714649,-0.286962995,-0.856104192,-1.297896668,-0.945926607,0.529045857,1.135155958,-0.780899814
0.215988523,-0.364380318,-0.839411077,0.239022882,-0.289340049,-1.685123069,-0.165984055,-0.808903789,-0.141167038,-0.134985522,-0.24724609,-0.068985249,0.173642434,0.337401695,0.568390149,1.919631131
-0.060321119,-1.532360783,-0.542734326,-1.24805647,-1.330188655,-1.109916769,-1.115191825,-0.025546291,-0.141167038,0.190340546,1.106498655,-0.751498158,-1.181791884,0.624867938,-0.110275749,-0.523635769
-0.33663076,1.164867192,1.381483272,1.179164351,0.954573654,0.818492249,0.926262173,0.76985956,0.421914968,-0.18213278,1.183411278,-0.316686997,1.084891353,-2.058150337,1.845819678,-0.400017709
0.077833702,-0.391510502,-0.130743487,-0.086476059,0.050368283,-0.40660262,0.317843442,-1.057915303,-0.028550637,0.587064147,-1.151303511,0.155318245,-0.495289983,0.337401695,-1.44573258,-0.207069674
2.150156012,-0.824097262,-0.538938118,-0.29970689,-1.573292063,-1.242216995,-1.83585118,0.362078188,0.196682165,-0.077388849,0.918829246,-0.166807417,-1.295294797,-0.81246328,-0.375503624,-0.677034564
0.630452985,1.076076207,1.415506022,0.802776427,0.899594043,0.881751022,-0.887397202,0.9867587,1.998544584,1.614422055,1.763249234,1.390609148,0.92933242,-1.195751605,0.740443456,-0.798074474
-1.718178967,-0.439852418,-1.131981516,-0.822049905,-0.268457739,-0.100444925,0.192208495,0.237578971,1.097613375,1.643009223,1.509369128,1.946124856,1.236416072,0.816512101,0.27806068,-0.795719013
-1.303714505,-0.828874637,-1.182623753,-0.737840637,0.136626289,-0.560285313,-0.141887525,0.357565451,0.084065764,0.606378083,-0.303939136,-0.521627299,-0.602403194,-0.237530793,-0.715801374,-0.108861203
-0.751095222,-0.786394356,-0.144299426,-0.860075038,-0.74087868,0.101115614,-0.572626449,-1.204810776,-0.929481846,-1.175476725,-0.599410077,-0.728748579,-1.02990681,0.72069002,-0.727748122,-0.087703381
-0.612940402,-1.237205213,-1.299558898,-1.626168851,-1.589270513,-1.204902493,-1.608056556,-1.535806293,-0.929481846,-1.317072901,0.035512919,-0.675618556,-1.817743064,1.008156263,-0.833886253,-0.194739091
0.906762626,0.566166055,1.218420106,0.894804191,0.96371325,0.64734022,0.110757421,0.375341711,0.084065764,-0.226523499,-0.349169712,0.240417198,0.26674576,1.008156263,-0.666118339,-0.161025701
0.768607805,1.053638172,1.600511545,0.976436759,0.974153039,0.343798312,0.968093549,2.192287313,-0.36639984,-0.931516233,-0.711101244,0.710430446,0.102529527,-0.429174955,0.086711361,1.449999128
